ItemID,OrderID,ItemName,Barcode,Status,Received,Count
ITEM044,ORD122,Section Upsilon,BC00044,Active,TRUE,20
ITEM045,ORD123,Division Phi,BC00045,Active,FALSE,15
ITEM046,ORD123,Portion Chi,BC00046,Inactive,FALSE,4
ITEM047,ORD124,Fraction Psi,BC00047,Active,TRUE,42
ITEM048,ORD124,Fragment Omega,BC00048,Active,TRUE,24
ITEM049,ORD125,Bit Alpha,BC00049,Active,FALSE,11
ITEM050,ORD125,Chip Beta,BC00050,Inactive,TRUE,9
ITEM051,ORD101,Gadget Gamma,BC00051,Active,TRUE,32
ITEM052,ORD101,Widget Delta,BC00052,Active,TRUE,18
ITEM053,ORD102,Thingamajig Epsilon,BC00053,Inactive,FALSE,6
ITEM054,ORD102,Doohickey Zeta,BC00054,Active,TRUE,44
ITEM055,ORD103,Gizmo Eta,BC00055,Active,FALSE,10
ITEM056,ORD103,Contraption Theta,BC00056,Active,TRUE,20
ITEM057,ORD104,Device Iota,BC00057,Active,TRUE,34
ITEM058,ORD104,Apparatus Kappa,BC00058,Inactive,FALSE,2
ITEM059,ORD105,Mechanism Lambda,BC00059,Active,TRUE,25
ITEM060,ORD105,Tool Mu,BC00060,Active,TRUE,49
ITEM061,ORD106,Implement Nu,BC00061,Active,FALSE,14
ITEM062,ORD106,Machine Xi,BC00062,Active,TRUE,9
ITEM063,ORD107,Appliance Omicron,BC00063,Inactive,FALSE,1
ITEM064,ORD107,Utility Pi,BC00064,Active,TRUE,55
ITEM065,ORD108,Fixture Rho,BC00065,Active,TRUE,16
ITEM066,ORD108,Fitting Sigma,BC00066,Active,FALSE,27
ITEM067,ORD109,Component Tau,BC00067,Active,TRUE,36
ITEM068,ORD109,Module Upsilon,BC00068,Inactive,TRUE,7
ITEM069,ORD110,Unit Phi,BC00069,Active,TRUE,41
ITEM070,ORD110,System Chi,BC00070,Active,FALSE,13
ITEM071,ORD111,Assembly Psi,BC00071,Active,TRUE,19
ITEM072,ORD111,Structure Omega,BC00072,Inactive,FALSE,5
ITEM073,ORD112,Frame Alpha,BC00073,Active,TRUE,31
ITEM074,ORD112,Chassis Beta,BC00074,Active,TRUE,24
ITEM075,ORD113,Case Gamma,BC00075,Active,FALSE,18
ITEM076,ORD113,Housing Delta,BC00076,Inactive,TRUE,4
ITEM077,ORD114,Enclosure Epsilon,BC00077,Active,TRUE,29
ITEM078,ORD114,Shell Zeta,BC00078,Active,TRUE,39
ITEM079,ORD115,Body Eta,BC00079,Active,FALSE,11
ITEM080,ORD115,Form Theta,BC00080,Inactive,FALSE,3
ITEM081,ORD116,Shape Iota,BC00081,Active,TRUE,43
ITEM082,ORD116,Figure Kappa,BC00082,Active,TRUE,28
ITEM083,ORD117,Contour Lambda,BC00083,Active,FALSE,12
ITEM084,ORD117,Profile Mu,BC00084,Inactive,TRUE,6
ITEM085,ORD118,Outline Nu,BC00085,Active,TRUE,35
ITEM086,ORD118,Silhouette Xi,BC00086,Active,TRUE,22
ITEM087,ORD119,Item Omicron,BC00087,Active,FALSE,15
ITEM088,ORD119,Article Pi,BC00088,Inactive,FALSE,5
ITEM089,ORD120,Object Rho,BC00089,Active,TRUE,47
ITEM090,ORD120,Entity Sigma,BC00090,Active,TRUE,30
ITEM091,ORD121,Piece Tau,BC00091,Active,FALSE,14
ITEM092,ORD121,Part Upsilon,BC00092,Inactive,TRUE,9
ITEM093,ORD122,Segment Phi,BC00093,Active,TRUE,38
ITEM094,ORD122,Section Chi,BC00094,Active,TRUE,19
ITEM095,ORD123,Division Psi,BC00095,Active,FALSE,17
ITEM096,ORD123,Portion Omega,BC00096,Inactive,FALSE,2
ITEM097,ORD124,Fraction Alpha,BC00097,Active,TRUE,46
ITEM098,ORD124,Fragment Beta,BC00098,Active,TRUE,21
ITEM099,ORD125,Bit Gamma,BC00099,Active,FALSE,13
ITEM100,ORD125,Chip Delta,BC00100,Inactive,TRUE,8 
